,teks,tipe
92,Adik duduk depan halaman \n Nenek lihat dengan heran \n Aku datang ke rumah paman \n Hari minggu saat liburan,Pantun Anak-anak
93,Akar alang entah menghilang \n Tumbuh bukan sebagai tanaman \n Hati senang bukan kepalang \n Bermain bola bersama teman,Pantun Anak-anak
94,Angin meniup pohon ilalang \n Berkicaulah burung kutilang \n Ayo teman kita berpetualang \n Ayo kita jadi si bolang,Pantun Anak-anak
95,Bapak tani membawa sabit \n Untuk memotong semua rumput \n Udin lari terbirit-birit \n Neneknya merasa amat takut,Pantun Anak-anak
96,Beli kain warna merah \n Sungguh indah dipandang mata \n Kalau main jangan marah \n Senang saja bersuka cita,Pantun Anak-anak
97,Beli penggaris dari mika \n Cicak menatap hati merenung \n Ke mana yang kamu suka \n Liburan ke pantai atau gunung,Pantun Anak-anak
98,Beli sabun beli blewah \n Sayang sekali uangnya kurang \n Main ke kebun turun ke sawah \n Bersama paman hatiku riang,Pantun Anak-anak
99,Benih padi sedang ditebar \n Burung mematuk sedang dikejar \n Ayahku memang sangat penyabar \n Jadilah aku suka belajar,Pantun Anak-anak
100,Bunga cantik namanya seroja \n Hewan cantik namanya rusa \n Jalan-jalan ke mana saja \n Pergi ke kota atau ke desa,Pantun Anak-anak
101,Bunyi kereta tut tut tut \n Terdengar hingga Ci Salak \n Udin lari terkentut-kentut \n Rupanya dikejar anjing galak,Pantun Anak-anak
102,Burung bangau bermain di paya \n Lalu terbang jauh ke kota \n Pak kusir selalu setia \n Temani kami dengan cerita,Pantun Anak-anak
103,Burung dara terbang melanglang \n Hinggapnya di pucuk dedahanan \n Setiap kali ayah pulang \n Selalu saja ada makanan,Pantun Anak-anak
104,Burung merpati burung dara \n Terbang tinggi jauh melanglang \n Hati ini amat gembira \n Sebentar lagi ayah pulang,Pantun Anak-anak
105,Dengar lagu berirama \n Tertawalah si adik manja \n Mari main bersama-sama \n Jangan duduk sendiri saja,Pantun Anak-anak
106,Dulang bukan sembarang dulang \n Dulang besar sebesar rantang \n Bolang bukan sembarang bolang \n Bolang pemberani menyerang pantang,Pantun Anak-anak
107,Empek-empek tambah cuka \n Lezat sekali dirasa lidah \n Ke kota aku sangat suka \n Ke desa juga banyak yang indah,Pantun Anak-anak
108,Enak rasanya es campur \n Ditemani dengan rujak \n Bermain di tanam lumpur \n Naik kerbau yang membajak,Pantun Anak-anak
109,Harum sekali mangga kueni \n Petik langsung dari dahan \n Teman-teman semua berani \n Loncat ke danau basah-basahan,Pantun Anak-anak
110,Hujan turun belum reda \n Airnya rembes dari talang \n Berpetualang selagi muda \n Hati bebas seperti elang,Pantun Anak-anak
111,Jalan-jalan ke kota padang \n Pergilah adik dengan abang \n Angin bertiup dengan sedang \n Layang-layang pasti terbang,Pantun Anak-anak
112,Jika petang suasana sepi \n Hanya angin yang menderu \n Ada juga karapan sapi \n Sapi balapan tambah seru,Pantun Anak-anak
113,Kain batik banyak sekodi \n Perca banyak dalam goni \n Turun ke sawah menanam padi \n Bermain lumpur seperti petani,Pantun Anak-anak
114,Kancil jatuh kakinya luka \n Untung ditolong oleh rusa \n Naik delman siapa suka \n Kita putar-putar desa,Pantun Anak-anak
115,Kancil lompat lewat kawat \n Hendak lari membeli jajan \n Sapi siapa yang paling kuat \n Itulah sapi Mbah Marijan,Pantun Anak-anak
116,Kancil melompat katak heran \n Katak lompat pelan-pelan \n Sebentar lagi kita liburan \n Ingin aku jalan-jalan,Pantun Anak-anak
117,Kolang kaling es kelapa \n Campur sedikit air nira \n Ayah pulang bawa apa \n Ayah pulang bawa gembira,Pantun Anak-anak
118,Lihat hiburan kuda kepang \n Penarinya sedang bergoyang \n Ayo kita ke tanah lapang \n Jangan lupa bawa layang-layang,Pantun Anak-anak
119,Lihatlah burung kutilang \n Terbang tinggi dia pulang \n Main dengan senang \n Jadi anak yang periang,Pantun Anak-anak
120,Luas nian langit biru \n Saatnya menonton kuda pacu \n Kalau dengar Ibu Guru \n Bercerita sungguh lucu,Pantun Anak-anak
121,Memang kancil kakinya luka \n Ia bercerita pada si rangkok \n Delman banyak yang suka \n Kuda berjalan lenggak-lenggok,Pantun Anak-anak
122,Menanam pinang rapat-rapat \n Jangan dicabut dengan tangan \n Larinya sapi amat cepat \n Penunggang jatuh di kubangan,Pantun Anak-anak
123,Pagi hari baca koran \n Baca berita orang hilang \n Bermain kejar-kejaran \n Badan sehat hati senang,Pantun Anak-anak
124,Pasar baru tempatnya kain \n Awas dompet jangan hilang \n Desa tempatnya bermain \n Seperti bolang berpetualang,Pantun Anak-anak
125,Pohon pinang besar di pangkal \n Tempat memanjat hewan kukang \n Penontonnya terpingkal-pingkal \n Celana penunggang melorot ke belakang,Pantun Anak-anak
126,Rajut kain dengan benang \n Rajutnya dengan putri dayang \n Ayah pulang hati senang \n Wajah ibu juga riang,Pantun Anak-anak
127,Sangat tajam giginya bajing \n Tajam seperti bambu runcing \n Lihat udin dikejar anjing \n Nenek takut sampai terkencing,Pantun Anak-anak
128,Sapi putih tarik pedati \n Pedatinya bergoyang-goyang \n Ayah selalu baik hati \n Aku ditimang aku disayang,Pantun Anak-anak
129,Sudah tinggi pohon enau \n Sudah terbang burung pelikan \n berpetualang ke sisi danau \n berenang gembira dengan ikan,Pantun Anak-anak
130,Terbang burung amat rendah \n Terbangnya dia ke utara \n Sawah itu amat indah \n Terhampar bagai selendang sutra,Pantun Anak-anak
131,Terbang tinggi burung pelatuk \n Datang pula burung pungguk \n Bahagianya dengarkan atuk \n Berdongeng sampai terbatuk-batuk,Pantun Anak-anak
132,Wangi nian kembang kenanga \n Manalah indah pohon ara \n Naik gunung mencari bunga \n Hati senang hati gembira,Pantun Anak-anak
133,Yang dijinjing buah salak \n Yang digenggam bumbu lada \n Pantaslah anjing galak menyalak \n Rupanya Udin suka menggoda,Pantun Anak-anak
134,Ada artis tampan namanya afgan \n Kalau mencari artis lucu namanya basuki \n Sayang dan kasihilah semua teman \n Supaya kelak bisa dapat banyak rizki,Pantun Budi
135,Ada kipas di hari panas \n Air segar obat dahaga \n Sopan santun jangan dilepas \n Itulah bekal menuju surga,Pantun Budi
136,Ahmad bermain di jerami \n Tersandung batu luka di tumit \n Sayangi yang ada di muka Bumi \n Niscaya disayang oleh yang di,Pantun Budi
137,Air putih dalam tangki \n Buah matang cobalah petik \n Jika yang lain iri dengki \n Balaslah dengan doa baik,Pantun Budi
138,Baju batik duduk di taman \n sujud di masjid tambah iman \n Orang baik banyak teman \n Hidup bahagia hatinya nyaman,Pantun Budi
139,Belanja ke pasar beli baju baru \n Pulang-pulang di rumah banyak tamu \n Selalu senantiasa hormati guru \n Supaya kelak mendapat keberkahan ilmu,Pantun Budi
140,Beli ikan di pasar pagi \n Bercanda ria setiap hari \n Berbaik sangkahlah setiap hari \n Agar terjaga budi pekerti,Pantun Budi
141,Bersama kawan bermain pasir \n Terlalu asik sampai masuk bibir \n Janganlah engkau menjadi manusia kikir \n Karena kikir akhirnya menumpulkan pikir,Pantun Budi
142,Bertanam cempedak di luar kota \n Tumbuh rendang condong ke desa \n Orang tidak memandang harta \n Tapi memandang budi bahasa,Pantun Budi
143,Biarlah biar kutanam ubi \n Tanam pula bunga melati \n Biarlah biar kutanam budi \n Budi baik dibawa mati,Pantun Budi
144,Biarlah orang bertanam buluh \n mari kita bertanam padi \n biarlah orang bertanam musuh \n mari kita menanam budi,Pantun Budi
145,Bunga mawar bunga berduri \n Tangan baik tak kan mencuri \n Sopan santun hiasan diri \n Lebih cantik daripada putri,Pantun Budi
146,Bunga melati hidup di darat \n Bunga teratai tumbuh di sungai \n Besi rusak karena karat \n Hina manusia karena tidak berbudi pekerti,Pantun Budi
147,Burung kutilang pergi ke taman \n Dengan saya dia terbang \n Jadilah orang-orang beriman \n Hati bersih dan penyayang,Pantun Budi
148,Dari empat hingga lima \n Hilang semua hingga punah \n Budi baik dikenang lama \n Walau jasad terkubur tanah,Pantun Budi
149,Disetiap tulang ada sendi \n Tulang rusak buat badan binasa \n Bangsa maju karena budi pekerti \n Runtuh budi hilanglah bangsa,Pantun Budi
150,Duduk di taman berlama-lama \n Taman indah banyak bunganya \n Kasih sayang kepada sesama \n Agar hati merasa bahagia,Pantun Budi
151,Durian manis kulit berduri \n Makan cireng ditambah cuka \n Wajah manis berseri-seri \n Semua orang jadi suka,Pantun Budi
152,Gelas cantik dari beling \n Baju kotor jangan direndam \n Orang baik berhati bening \n Tiada pernah menyimpan dendam,Pantun Budi
153,Getah nangka sangat lengket \n Jatuh ke sana banyak lalat \n Kaki yang kuat selalu berangkat \n Sholat jamaah tiada telat,Pantun Budi
154,Hari Minggu suhunya panas \n Panas-panas minum air yang manis \n Hilang akal karena emas \n Hilang budi pekerti karena emas,Pantun Budi
155,Hari petang sudah berkemas \n Malam hitam bagaikan arang \n Budi baik laksana emas \n Selalu dicari semua orang,Pantun Budi
156,Hidup itu hanya sekali \n Maka itu harus melakukan hal yang baik \n Apa gunanya hidup sewindu \n Kalau tidak memiliki budi pekerti yang baik,Pantun Budi
157,Hujan turun di malam hari \n pagi-pagi makan ketupat \n Rupa cantik dapat dicari \n Hati yang baik susah didapat,Pantun Budi
158,Jika ikan banyak berduri \n Hati-hati memakannya \n Jika engkau banyak memberi \n Allah kan balas berlipat ganda,Pantun Budi
159,Kakak cantik jagoan mama \n Disuruh masak eh malah dimakan \n Kita boleh berbeda agama \n Saling membantu tetap dijalankan,Pantun Budi
160,Kita berlindung dari gempa \n Kalau gempa rumah pun rata \n Sopan santun tak pernah lupa \n Itulah ada yang sangat pertama,Pantun Budi
161,Kotak Solo kota batik \n Ladang luas tumbuh gandum \n Kepada orang yang baik \n Hati ini selalu terkagum,Pantun Budi
162,Lambat berjalan si kura-kura \n Tak pandai memanjat kelapa \n Walau harta kita tak punya \n Milikilah akhlak yang mulia,Pantun Budi
163,Langit senja warna merah \n Duduk sedih si anak jawa \n Jadi anak jangan pemarah \n Kalau pemarah cepat tua,Pantun Budi
164,Lari ke hutan anak rusa \n Rusa indah dari taman \n Kalau lembut tutur bahasa \n Banyak orang merasa nyaman,Pantun Budi
165,Malam hari tidur nyenyak \n Pagi-pagi makan kolak \n Apa gunanya harta yang banyak? \n Kalau dirimu tak punya akhlak,Pantun Budi
166,Manis rasanya makan kolak \n Sambil melihat kolam ikan \n Baik budi baik akhlak \n Banyak orang yang mendoakan,Pantun Budi
167,Mari kita menanam tomat \n Tanam tomat di tanah darat \n Kepada yang tua hendaklah hormat \n Agar tinggi derajat martabat,Pantun Budi
168,Mari main layang-layang \n Jangan sampai jatuh keempang \n Siapa punya hati penyayang \n hidupnya tentu merasa lapang,Pantun Budi
169,Mencari kelelawar di dalam gua \n Saat pulang malah bertemu orang afrika \n Hormat dan sayangi kedua orang tua \n Jangan malah menjadi durhaka,Pantun Budi
170,Naik ke loteng pakai tangga \n Naik haji pergi ke Mekah \n Ucapan baik lebih berharga \n Daripada setumpuk sedekah,Pantun Budi
171,Nanak nasi masak sambal telok \n Ambillah kayu dibakar jadi arang \n Jadilah anak yang bersikap bijak nan elok \n Kemana kau pergi disayang orang,Pantun Budi
172,Pagi hari sarapan bubur \n Sayur lontong bercampur santan \n Sopan santun saat bertutur \n Lisan ini jangan menyakitkan,Pantun Budi
173,Pagi-pagi makan dodol \n Ada cabe dalam ulekan \n Sudah besar masih ngompol \n Malu dong sama teman,Pantun Budi
174,Para petani bekerja di sawah \n Di sawah menanam padi \n Hidup jangan untuk mencari musuh \n Mari kita menanam budi pekerti,Pantun Budi
175,Parang panjang pisau belati \n Kue bolu dalam loyang \n Jika orang rendah hati \n Semua orang akan sayang,Pantun Budi
176,Pasang kelambu tepi jendela \n Supaya senang pintu dikunci \n Biar beribu dara dan janda \n Saya memilih yang baik budi,Pantun Budi
177,Pelaut pergi berlayar \n Berpetualangan mencari peti \n Hutang harta boleh dibayar \n Hutang budi pasti dibawa mati,Pantun Budi
178,Pergi berlayar bersama Sania \n Jangan lupa membawa jamu \n Wanita memang perhiasan dunia \n Jagalah selalu martabat dirimu,Pantun Budi
179,Pergi ke masjid mendapat berkah \n Bajing kecil makan kelapa \n Kemana hendak kaki melangkah \n Budi baik jangan dilupa,Pantun Budi
180,Petani bergotong-royong menanam padi \n Kakinya panas bercak-bercak \n Sejak kecil harus menanam budi pekerti \n Membuat kita menjadi lebih baik,Pantun Budi
181,Petani menanam padi \n anak yatim diam di panti \n Akhlak baik kan abadi \n Jadi bekal di akhirat nanti,Pantun Budi
182,Pohon bambu di bawahnya ada batu \n Bertenggerlah burung kakak tua \n Rajin menabung suka membantu \n Idaman para calon mertua,Pantun Budi
183,Pohon besar sangat teduh \n Lebat daunnya banyak tangkainya \n Kalau berkawan jangan bergaduh \n Banyaklah membantu sesama,Pantun Budi
184,Pusing-pusing masuk masa kritis \n Kepala pusing rasanya berkunang-kunang \n Pemimpin hebat berjiwa demokratis \n Habis masa jabatan tetap dikenang,Pantun Budi
185,Si kancil dan si rusa \n Bermain-main di Rimba Raya \n Hormatilah sesama manusia \n Supaya hidup tentram bahagia,Pantun Budi
186,Siapa yang memancing ikan \n Jangan lupa makan ketan \n Siapa yang menanam kebaikan \n Kan dibalas dengan kebaikan,Pantun Budi
187,Sore hari berpanen padi \n Padi menguning di tengah sawah \n Jangan berat hati dalam membalas budi \n Budi akan membawa berkah,Pantun Budi
188,Sore-sore naik mobil ferari \n Diiringi dengan lagu melodi \n Supaya punya harga diri \n Hendaklah selalu berakhlak serta berbudi,Pantun Budi
189,Terbang tinggi jauh ke awan \n Pulang ke sarang di waktu senja \n Selalulah setia kawan \n Susah senang bersama-sama,Pantun Budi
190,Wangi harum bunga melati \n Dari jauh kota Medan \n Simpan Quran di dalam hati \n Hafalkan di lisan amalkan di badan,Pantun Budi
191,Ada udang di balik batu \n Ada hikmah di tiap waktu \n Ada gajah di mata aku \n Gajahnya itu adalah kamu,Pantun Jenaka
192,Bagai langit dan juga bumi \n Bagai pinang di belah dua \n Bagai batu di tepi kali \n Bagaimana lagi ya selanjutnya?,Pantun Jenaka
193,"Bagai pungguk rindukan bulan \n Bagai sungai yang meriak \n Bagai langit tanpa awan \n Bagaimana sih, kau bisa pantun atau tidak?",Pantun Jenaka
194,Berakit-rakit ke hulu \n Berenang-renang ke tepian \n Berfoya-foya terlebih dulu \n Dikejar-kejar bank kemudian,Pantun Jenaka
195,Berjalan-jalan ke perkotaan \n Pulangnya beli makanan ringan \n Dipalak orang di tengah jalan \n Kandaslah sudah makanan ringan,Pantun Jenaka
